name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
PolyORBLF-COL-S06J06T08,81,65,254,894,14334,119772,0.08341700000000002,0.0026451562500000004,894.0,14334.0,119772.0,0.07866687500000004,1.0,1.0940075635392912
PolyORBNT-COL-S05J80,48,38,140,1189,2350,14464,0.011336156250000002,0.00052503125,1269.0,2430.0,14624.0,0.010840125,0.9567450662341174,1.0941928713921658
DatabaseWithMutex-COL-40,11,8,22,12920,12800,156800,0.14322459375,0.0003966562500000001,12920.0,12800.0,156800.0,0.1307023125,1.0,1.0988424554462262
CSRepetitions-COL-07,6,5,15,498,833,3087,0.002631875,6.715625e-05,498.0,833.0,3087.0,0.002453093750000001,1.0,1.1002560542172508
PhilosophersDyn-COL-80,8,7,33,6960,1043280,8780720,6.439767187499999,0.00021365625,6960.0,1043280.0,8780720.0,5.844586249999998,1.0,1.1018711279605125
PolyORBNT-COL-S05J40,48,38,140,629,1590,10704,0.008084562500000001,0.00051878125,669.0,1630.0,10784.0,0.0078039999999999984,0.9652022618529795,1.1024274410558692
FamilyReunion-COL-L00050M0005C002P002G001,104,66,198,12194,10560,32238,0.041715906250000004,0.0005953437499999998,12245.0,10560.0,32238.0,0.03825575,0.9977636483227362,1.1060102076158487
Philosophers-COL-002000,5,5,15,10000,10000,32000,0.033412062500000006,7.540624999999999e-05,10000.0,10000.0,32000.0,0.030241999999999998,1.0,1.1073166043912441
BridgeAndVehicles-COL-V50P20N50,15,11,56,168,5408,42330,0.021400281249999997,0.029567812500000002,168.0,5408.0,42330.0,0.04580875000000001,1.0,1.1126279095151033
TokenRing-COL-040,1,2,4,1681,65641,262564,0.28734728124999986,0.001420625,1681.0,65641.0,262564.0,0.2591603125,1.0,1.1142443202988492
TokenRing-COL-050,1,2,4,2601,127551,510204,0.572368875,0.0014623750000000003,2601.0,127551.0,510204.0,0.5143438125,1.0,1.1156569517398442
BridgeAndVehicles-COL-V50P50N50,15,11,56,168,5408,42330,0.021483406250000003,0.029617249999999994,168.0,5408.0,42330.0,0.04578574999999999,1.0,1.1160821052401677
AirplaneLD-COL-0100,20,15,56,719,808,3078,0.0023314375,0.00015578125,719.0,808.0,3078.0,0.0022282500000000006,1.0,1.116220688881409
PolyORBNT-COL-S05J30,48,38,140,489,1400,9764,0.007234218750000001,0.00051703125,519.0,1430.0,9824.0,0.0069369375,0.9692149820420729,1.1173878963159176
TokenRing-COL-030,1,2,4,961,27931,111724,0.11062075000000002,0.0013896874999999999,961.0,27931.0,111724.0,0.1001740625,1.0,1.1181580810901028
Referendum-COL-0100,4,3,6,301,201,501,0.0005482187500000001,3.115625e-05,301.0,201.0,501.0,0.0005155312499999999,1.0,1.1238406983087839
PolyORBNT-COL-S05J60,48,38,140,909,1970,12584,0.009774656249999998,0.00052290625,969.0,2030.0,12704.0,0.00916271875,0.9599866622207403,1.1238544782355127
Philosophers-COL-000100,5,5,15,500,500,1600,0.0014119374999999998,7.1125e-05,500.0,500.0,1600.0,0.0013191562499999998,1.0,1.1242508232061212
PhilosophersDyn-COL-50,8,7,33,2850,257550,2154950,1.5593696874999996,0.00020318749999999997,2850.0,257550.0,2154950.0,1.386170625,1.0,1.1250944486000771
PolyORBNT-COL-S05J20,48,38,140,349,1210,8824,0.006425031249999999,0.0005172187500000001,369.0,1230.0,8864.0,0.0061675312499999985,0.9749843652282677,1.1256124563616927
AirplaneLD-COL-2000,20,15,56,14019,16008,61028,0.061858875,0.00015390625,14019.0,16008.0,61028.0,0.05497637499999999,1.0,1.1279896364574786
