,name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
PolyORBLF-COL-S02J04T06,PolyORBLF-COL-S02J04T06,81.0,65.0,254.0,476.0,920.0,4242.0,0.0038466875,0.0021050000000000005,476.0,920.0,4242.0,0.003222906249999999,1.0,1.8466834088022268
DrinkVendingMachine-COL-02,DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.00034759375000000003,0.00021459375,24.0,72.0,440.0,0.00030003125000000006,1.0,1.8737631496719087
Philosophers-COL-000005,Philosophers-COL-000005,5.0,5.0,15.0,25.0,25.0,80.0,0.00010578125000000004,6.953125000000001e-05,25.0,25.0,80.0,8.556249999999999e-05,1.0,2.0489408327246177
DatabaseWithMutex-COL-02,DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.00017834375,0.00012146874999999998,38.0,32.0,88.0,0.0001361875,1.0,2.2014685635612667
SafeBus-COL-03,SafeBus-COL-03,20.0,14.0,68.0,60.0,97.0,568.0,0.0005099062499999999,0.0005139375,60.0,97.0,568.0,0.00043515625,1.0,2.352818671454219
QuasiCertifProtocol-COL-02,QuasiCertifProtocol-COL-02,30.0,26.0,77.0,86.0,56.0,223.0,0.00029609375,0.00032334375000000006,86.0,56.0,223.0,0.00024953124999999997,1.0,2.482404508453351
LamportFastMutEx-COL-2,LamportFastMutEx-COL-2,18.0,17.0,68.0,44.0,62.0,256.0,0.00033787499999999996,0.00068525,69.0,96.0,402.0,0.00036434375000000003,0.6424242424242425,2.8081310575521052
DotAndBoxes-COL-5,DotAndBoxes-COL-5,8.0,8.0,44.0,356.0,10424.0,121568.0,0.10463037499999998,0.1740671875,360.0,10472.0,121760.0,0.09855596875,0.9951994091580503,2.8278100863373634
LamportFastMutEx-COL-3,LamportFastMutEx-COL-3,18.0,17.0,68.0,71.0,114.0,480.0,0.0005503750000000002,0.001282375,100.0,156.0,664.0,0.0005622499999999999,0.72265625,3.2596709648732776
DotAndBoxes-COL-4,DotAndBoxes-COL-4,8.0,8.0,44.0,230.0,3920.0,45056.0,0.03782590625,0.08554900000000003,234.0,3956.0,45200.0,0.036227187499999994,0.9904534606205251,3.4055888619562324
QuasiCertifProtocol-COL-06,QuasiCertifProtocol-COL-06,30.0,26.0,77.0,270.0,116.0,659.0,0.0006921562499999998,0.0014915625000000003,270.0,116.0,659.0,0.0006321874999999998,1.0,3.45422639644093
LamportFastMutEx-COL-4,LamportFastMutEx-COL-4,18.0,17.0,68.0,102.0,180.0,768.0,0.00078940625,0.0023062812499999993,135.0,230.0,990.0,0.00079128125,0.7726027397260274,3.912246751708068
DotAndBoxes-COL-3,DotAndBoxes-COL-3,8.0,8.0,44.0,132.0,1072.0,11968.0,0.01030784375,0.03222571875,136.0,1096.0,12064.0,0.0098603125,0.9772727272727273,4.313612017874687
LamportFastMutEx-COL-5,LamportFastMutEx-COL-5,18.0,17.0,68.0,137.0,260.0,1120.0,0.0011340312499999996,0.004102374999999998,174.0,318.0,1380.0,0.0010633125,0.806910569105691,4.924616469758418
