,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
DatabaseWithMutex-COL-20,DatabaseWithMutex-COL-20,8.0,22.0,3260.0,3200.0,23200.0,0.019365093750000003,0.04755196875,11.0,3260,3200,23200,0.01997178125,0.00045237500000000003,1.0,0.30521597163653147
PolyORBNT-COL-S05J20,PolyORBNT-COL-S05J20,38.0,140.0,349.0,1210.0,8824.0,0.0062901875,0.014549656249999997,48.0,349,1210,8824,0.006456781250000001,0.0005173749999999999,1.0,0.33465492033739463
PolyORBNT-COL-S05J80,PolyORBNT-COL-S05J80,38.0,140.0,1189.0,2350.0,14464.0,0.011094000000000001,0.024699531249999993,48.0,1189,2350,14464,0.011490937500000001,0.0005246249999999998,1.0,0.335690893867869
Referendum-COL-0500,Referendum-COL-0500,3.0,6.0,1501.0,1001.0,2501.0,0.0065584375,0.001049375,4.0,1501,1001,2501,0.0026392500000000005,3.5937500000000006e-05,1.0,0.3516368864243172
DrinkVendingMachine-COL-16,DrinkVendingMachine-COL-16,7.0,28.0,192.0,1118560.0,10642624.0,5.7800924999999985,11.357031250000002,6.0,192,1118560,10642624,6.3776365625,0.0002161875,1.0,0.37216588052006105
PolyORBNT-COL-S05J60,PolyORBNT-COL-S05J60,38.0,140.0,909.0,1970.0,12584.0,0.00950403125,0.017828999999999998,48.0,909,1970,12584,0.0098809375,0.0005244375000000001,1.0,0.3806886585255707
CSRepetitions-COL-07,CSRepetitions-COL-07,5.0,15.0,498.0,833.0,3087.0,0.0024848125,0.004583874999999999,6.0,498,833,3087,0.0026284999999999998,6.696874999999998e-05,1.0,0.3813252106561508
Philosophers-COL-000020,Philosophers-COL-000020,5.0,15.0,100.0,100.0,320.0,0.00035218749999999996,0.00062909375,5.0,100,100,320,0.00031706249999999996,6.440624999999998e-05,1.0,0.38874558135091236
PolyORBNT-COL-S10J80,PolyORBNT-COL-S10J80,38.0,140.0,1614.0,13500.0,119759.0,0.07574143749999998,0.1253944375,48.0,1614,13500,119759,0.07893362499999998,0.0005118437499999999,1.0,0.39498408103477306
PolyORBNT-COL-S10J60,PolyORBNT-COL-S10J60,38.0,140.0,1234.0,12920.0,116879.0,0.07372068749999999,0.11372568749999998,48.0,1234,12920,116879,0.07606399999999999,0.0005149062500000001,1.0,0.4085376751084144
PolyORBNT-COL-S05J40,PolyORBNT-COL-S05J40,38.0,140.0,629.0,1590.0,10704.0,0.007856906250000002,0.01254846875,48.0,629,1590,10704,0.00805346875,0.0005174375,1.0,0.4200317930937314
Sudoku-COL-AN03,Sudoku-COL-AN03,1.0,4.0,54.0,27.0,108.0,0.00016675000000000001,0.0004190624999999999,4.0,54,27,108,0.000177625,6.974999999999997e-05,1.0,0.42227675237383977
DotAndBoxes-COL-5,DotAndBoxes-COL-5,8.0,44.0,324.0,8760.0,101600.0,0.07907075000000001,0.699449875,8.0,356,10424,121568,0.09956637500000001,0.23843971875,1.1867018934390137,0.43416459743760805
PolyORBNT-COL-S10J40,PolyORBNT-COL-S10J40,38.0,140.0,854.0,12340.0,113999.0,0.0712329375,0.09746800000000003,48.0,854,12340,113999,0.07379396875000001,0.0005142187499999999,1.0,0.44047287822570635
PolyORBNT-COL-S10J30,PolyORBNT-COL-S10J30,38.0,140.0,664.0,12050.0,112559.0,0.06966665625,0.09304503125,48.0,664,12050,112559,0.07150309375000001,0.00052684375,1.0,0.4426844721894979
Peterson-COL-7,Peterson-COL-7,14.0,42.0,1992.0,3096.0,9584.0,0.011165062500000003,0.15224159375000001,11.0,2048,3208,10032,0.012355625,0.06051096875,1.0330188679245282,0.4459218211926419
Referendum-COL-1000,Referendum-COL-1000,3.0,6.0,3001.0,2001.0,5001.0,0.00982853125,0.00218803125,4.0,3001,2001,5001,0.005332656250000001,2.8687500000000006e-05,1.0,0.4461628481522899
PolyORBNT-COL-S05J30,PolyORBNT-COL-S05J30,38.0,140.0,489.0,1400.0,9764.0,0.0070089687500000004,0.010287812500000002,48.0,489,1400,9764,0.0072265312499999994,0.000520125,1.0,0.44786692610800044
PolyORBNT-COL-S10J20,PolyORBNT-COL-S10J20,38.0,140.0,474.0,11760.0,111119.0,0.06855446875000001,0.09006212499999999,48.0,474,11760,111119,0.07107459375,0.0005196875,1.0,0.451366906559863
FamilyReunion-COL-L00020M0002C001P001G001,FamilyReunion-COL-L00020M0002C001P001G001,66.0,198.0,3271.0,2753.0,8446.0,0.0097484375,0.0128013125,104.0,3271,2753,8446,0.009830843749999998,0.0005861875,1.0,0.4619577268040665
DatabaseWithMutex-COL-10,DatabaseWithMutex-COL-10,8.0,22.0,830.0,800.0,3800.0,0.0037016562499999997,0.0047678125,11.0,830,800,3800,0.00377484375,0.00026490624999999995,1.0,0.47697796865948644
PermAdmissibility-COL-50,PermAdmissibility-COL-50,16.0,83.0,168.0,592.0,3456.0,0.00197371875,0.008196437499999999,40.0,168,592,3456,0.0023280625000000003,0.00259840625,1.0,0.4844044308562123
